Country,"Fertility rate, total (births per woman)",Current health expenditure per capita (current US$),Diabetes prevalence (% of population ages 20 to 79),Domestic general government health expenditure per capita (current US$),Domestic private health expenditure per capita (current US$),"GNI per capita, Atlas method (current US$)","Immunization, DPT (% of children ages 12-23 months)","Immunization, HepB3 (% of one-year-old children)","Immunization, Hib3 (% of children ages 12-23 months)","Immunization, measles (% of children ages 12-23 months)","Immunization, Pol3 (% of one-year-old children)","Incidence of tuberculosis (per 100,000 people)","Labor force, total",Net migration,Out-of-pocket expenditure per capita (current US$),People using at least basic drinking water services (% of population),People using at least basic sanitation services (% of population),Population growth (annual %),"Population, total",Prevalence of overweight (% of adults),Prevalence of hypertension (% of adults ages 30-79),Rural population,Sex ratio at birth (male births per female births),"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)","Tuberculosis death rate (per 100,000 people)",Tuberculosis treatment success rate (% of new cases),"Unemployment, total (% of total labor force)",Urban population growth (annual %),Urban population
Croatia,1.47,1040.08569336,10.5,848.11837236,191.87837091,22080.0,94.0,93.0,94.0,93.0,94.0,8.6,1733415.0,-5186.0,119.2433896,,96.1508301589796,0.1712144343961,3866300.0,62.38,48.4,1587309.0,1.06,8.54,0.91,24.0,5.236,0.800920268465332,2278991.0
Ethiopia,4.347,25.93511963,4.4,5.84531137,11.18534024,820.0,68.0,68.0,68.0,57.0,69.0,140.0,54470278.0,30069.0,9.80851022,47.2539785569372,8.65203916056794,2.58350411214521,132059767.0,9.76,27.4,100813106.0,1.056,3.36,19.0,90.0,3.398,4.73660424393762,31246661.0
Jordan,2.855,294.92785645,20.5,126.66507164,158.20213126,4430.0,89.0,89.0,89.0,87.0,87.0,5.5,3079844.0,-156369.0,106.17410561,98.9513662051964,97.2214886294743,0.988722042141178,11552876.0,70.08,37.7,900431.0,1.049,0.31,0.09,82.0,17.996,1.19064759002412,10652445.0
Lao PDR,2.589,67.57865143,6.7,24.95913629,28.28676618,2000.0,80.0,80.0,80.0,83.0,80.0,155.0,3584797.0,-10284.0,28.26969177,85.099831820973,78.948092429375,1.35832703035837,7769819.0,28.22,28.5,4746893.0,1.053,11.52,27.0,90.0,1.218,3.06666541664422,3022926.0
United Arab Emirates,1.247,1962.46728516,20.7,1004.27129642,958.19591654,49500.0,99.0,98.0,99.0,99.0,95.0,0.98,7090447.0,278439.0,240.04156615,100.0,99.0984800860555,3.68221866028066,10876981.0,71.32,41.4,1304368.0,1.047,2.37,0.67,81.0,2.133,3.94275453674315,9572613.0
Suriname,2.347,599.07025146,13.8,427.99640383,167.53968403,5870.0,77.0,77.0,77.0,64.0,76.0,29.0,255453.0,-1166.0,99.40589733,97.5417735351336,89.2491425915073,0.877853398525397,634431.0,56.4,42.9,212325.0,1.042,6.63,2.3,79.0,7.325,1.0615100478793,422106.0
Maldives,1.64,880.79962158,9.5,690.02194254,169.28319098,11650.0,98.0,98.0,98.0,99.0,99.0,36.0,270346.0,-2421.0,153.8195148,99.5272078072488,98.2684279207159,0.342572358181693,527799.0,48.62,34.1,303975.0,1.047,1.43,2.1,61.0,4.636,1.37612413886382,223824.0
Mauritania,4.984,54.63365555,5.2,19.45967919,33.4391928,2090.0,80.0,80.0,80.0,75.0,75.0,89.0,1209855.0,-2185.0,32.94027915,72.5443131435372,49.5893944954558,2.88395898961435,5169395.0,44.85,37.9,2147470.0,1.033,0.0,16.0,81.0,10.373,4.19083989495504,3021925.0
Tunisia,2.1,212.60031128,16.0,125.87926176,86.65806827,3900.0,98.0,98.0,98.0,98.0,98.0,35.0,4246885.0,-15221.0,75.63576989,96.1940901831773,96.3765731985838,0.626519256572759,12277109.0,56.0,34.7,3575094.0,1.056,2.01,1.2,90.0,16.203,1.10168916138058,8702015.0
Malta,1.14,2943.63208008,10.0,1840.07512732,1103.30648057,34660.0,98.0,98.0,98.0,96.0,98.0,22.0,318150.0,6323.0,1004.69329525,100.0,99.9644988230789,3.83316098582142,574346.0,64.65,29.5,28683.0,1.068,8.52,0.21,,2.703,3.9014819711169,545663.0
Romania,1.77,738.5581665,7.5,591.87914899,146.6790098,17600.0,88.0,90.0,88.0,90.0,88.0,65.0,8263006.0,-28466.0,139.41883148,99.9999996798846,86.5415830093919,0.0517246559346912,19069340.0,62.11,48.4,8604086.0,1.053,16.99,4.7,84.0,5.379,0.431458892013842,10465254.0
Rwanda,3.985,50.75216675,2.1,20.39737413,13.19004652,1040.0,98.0,98.0,98.0,96.0,98.0,57.0,5671034.0,-15582.0,5.93277862,62.4117359707321,71.2065248746041,2.14176839550509,14256567.0,17.7,29.8,11678837.0,1.027,1.88,4.9,87.0,11.994,3.19256888917772,2577730.0
Oman,2.696,730.08325195,17.0,639.17703908,90.90616016,19280.0,99.0,99.0,99.0,99.0,99.0,9.2,2695516.0,154219.0,43.5227944,91.8882639823975,99.3200376001363,4.49738628465102,5281538.0,63.94,45.6,581075.0,1.042,0.88,0.36,48.0,3.161,5.17157048090877,4700463.0
Tuvalu,3.331,1128.93554688,19.0,879.81962503,4.06102744,6880.0,92.0,92.0,92.0,96.0,92.0,296.0,,-280.0,3.46103508,99.1992660756145,83.499603826937,-1.74703857618302,9646.0,85.18,50.4,3190.0,1.069,1.25,24.0,87.0,,-0.70998909140659,6456.0
Burundi,5.271,22.24477386,4.3,5.59227403,5.23419373,190.0,93.0,93.0,93.0,92.0,93.0,107.0,6106804.0,-27074.0,4.94198955,62.094321278238,45.7452763887701,2.5839340108674,14047786.0,15.0,34.2,11918142.0,1.024,4.13,21.0,94.0,0.902,5.09541798113634,2129644.0
Equatorial Guinea,4.429,215.54243469,8.2,43.9841676,169.66716484,4740.0,62.0,62.0,62.0,51.0,63.0,286.0,714966.0,3891.0,164.61900705,,,2.40472649031131,1892516.0,37.73,38.1,475514.0,1.031,6.94,53.0,76.0,7.823,2.97529704287941,1417002.0
Germany,1.54,5488.53955078,7.8,4236.93291821,1251.60686936,54960.0,91.0,88.0,90.0,97.0,91.0,6.1,43772213.0,36954.0,726.02044273,99.9999995489977,99.2253840840528,-0.467077236996451,83510950.0,54.13,29.7,18460095.0,1.054,12.22,0.32,69.0,3.406,-0.300045080252953,65050855.0
Djibouti,2.798,68.27401733,6.5,36.38107497,20.42019334,3540.0,85.0,85.0,85.0,83.0,85.0,210.0,265171.0,-11.0,19.28325152,75.9957463626693,66.638239753157,1.3592172957681,1168722.0,27.49,34.2,248564.0,1.037,0.4,25.0,82.0,25.875,1.58803305903748,920158.0
Ukraine,1.218,242.81388855,6.0,108.75746001,132.40623271,5220.0,80.0,76.0,80.0,93.0,78.0,77.0,21427188.0,1146012.0,124.12383718,93.5115778266462,97.7415991917121,0.33702862573394,37860221.0,54.93,43.1,11250543.0,1.066,8.7,8.4,79.0,8.194,0.606302347210976,26609678.0
Costa Rica,1.6,930.43511963,9.8,674.89936683,255.52607567,15620.0,95.0,94.0,96.0,95.0,96.0,10.0,2357187.0,967.0,207.71559039,99.7975293659545,97.8532216953258,0.476482848761595,5129910.0,65.47,37.8,863518.0,1.043,3.45,0.77,,7.848,1.13393837175165,4266392.0
El Salvador,1.838,380.53384399,12.7,203.68691397,176.83615284,5120.0,96.0,96.0,96.0,96.0,97.0,60.0,2890348.0,-23102.0,143.35118291,97.8203480942147,86.8216058122908,0.451762522948611,6338193.0,64.98,32.7,1521420.0,1.048,3.28,0.97,90.0,2.839,1.24838310782066,4816773.0
South Africa,2.264,538.80426025,7.2,313.62231793,219.14482068,6100.0,85.0,85.0,85.0,83.0,85.0,615.0,27765994.0,166972.0,30.93337734,93.3882436903298,75.3796452913204,1.24951426055192,64007187.0,54.69,44.1,19651487.0,1.041,8.77,38.0,79.0,33.168,1.94312982083253,44355700.0
Portugal,1.44,2221.73120117,10.5,1350.26096116,869.82528714,26620.0,99.0,98.0,99.0,99.0,99.0,19.0,5464162.0,20648.0,680.01062296,99.2195941125794,99.6451165848976,1.16038052337763,10701636.0,54.6,32.3,3379256.0,1.05,10.45,1.8,71.0,6.384,1.91883573116931,7322380.0
Cote d'Ivoire,4.523,68.30471039,5.0,20.63144067,38.79444018,2510.0,79.0,79.0,79.0,71.0,79.0,137.0,12594667.0,7838.0,25.45065106,72.541058171011,34.7779674572536,2.43618201263834,31934230.0,32.63,37.3,14803432.0,1.03,2.8,21.0,84.0,2.288,3.36321639547342,17130798.0
Vanuatu,3.79,112.13746643,19.7,61.07442332,11.74514181,3940.0,90.0,90.0,90.0,80.0,90.0,41.0,118094.0,-43.0,8.58725213,90.0654259004521,48.3408689974498,2.27351944261437,327777.0,50.36,39.5,242073.0,1.07,1.87,5.4,85.0,5.064,2.93036541729069,85704.0
United States,1.706,10546.01367188,13.7,5470.11145508,5075.90192857,83660.0,94.0,91.0,91.0,90.0,93.0,2.9,174173594.0,1286132.0,1191.07644041,99.7446309234849,99.6844350554525,0.976421684505429,340110988.0,71.3,31.6,56067296.0,1.047,9.57,0.17,75.0,4.106,1.23659363787414,284043692.0
Bolivia,2.688,241.34619141,3.4,171.57260293,67.03740544,3690.0,75.0,75.0,75.0,79.0,75.0,106.0,6859259.0,-3000.0,57.9028079,92.5659538959925,63.8163098248026,1.37206798819615,12413315.0,62.26,28.3,3532209.0,1.042,4.1,10.0,83.0,3.091,1.87511109176737,8881106.0
